RecommendationId,AccountCode,AccountName,Industry,CurrentProducts,Recommendation,Confidence,Why,Methods,NumMethods,AvgWonRevenue,AvgWonGp,CurrentWonGp
XSL-00001,0017EE7NAK4MCZHMAV,Westfall Financial Group Co.,Retail & Consumer Goods,"Data Center / Product, Data Center / SDIS, Data Center / Technical Services, Data Center / VBR, Digital Workplace / Product, Digital Workplace / Technical Services, Networking / Consulting Services, Networking / Product, Networking / SDIS, Networking / Technical Services, Networking / VBR, Security / Product, Security / VBR",Add Security / Technical Services,Very High,"Accounts with Data Center / Technical Services go on to also have Security / Technical Services 50% of the time -- 7.5x more often than chance, based on 5 accounts. | 3 of this account's closest-matching peers by product mix (avg similarity 69%) already have Security / Technical Services, e.g. ""Cobalt Holdings Co."", ""Monroe, Metropolitan Water District"", ""Stonebridge Data Systems Inc."".","Market Basket Rule, Similar Account",2,6165.0,1463.0,75149.0
XSL-00002,001V8SQDYB439KFK2H,Stonebridge Data Systems Inc.,Transportation & Logistics,"Data Center / Product, Data Center / Technical Services, Data Center / VBR, Digital Workplace / Product, Digital Workplace / VBR, Networking / Product, Networking / SDIS, Networking / Technical Services, Networking / VBR, Security / Product, Security / Technical Services, Security / VBR",Add Digital Workplace / Technical Services,Very High,"Accounts with Data Center / Technical Services go on to also have Digital Workplace / Technical Services 50% of the time -- 6.1x more often than chance, based on 5 accounts. | 4 of this account's closest-matching peers by product mix (avg similarity 72%) already have Digital Workplace / Technical Services, e.g. ""Monroe, Metropolitan Water District"", ""Brightpath Solutions Inc."", ""Westfall Financial Group Co."".","Market Basket Rule, Similar Account",2,6573.0,1176.0,142864.0
XSL-00003,001LA0TQ6LU0VHY0EF,"Monroe, Metropolitan Water District",Public Sector,"Data Center / Product, Data Center / Technical Services, Digital Workplace / Product, Digital Workplace / Technical Services, Digital Workplace / VBR, Networking / Product, Networking / SDIS, Networking / Technical Services, Networking / VBR, Security / Product, Security / Technical Services, Security / VBR",Add Data Center / VBR,Very High,"Accounts with Data Center / Technical Services go on to also have Data Center / VBR 40% of the time -- 7.1x more often than chance, based on 4 accounts. | 4 of this account's closest-matching peers by product mix (avg similarity 72%) already have Data Center / VBR, e.g. ""Stonebridge Data Systems Inc."", ""Brightpath Solutions Inc."", ""Cobalt Holdings Co."".","Market Basket Rule, Similar Account",2,651.0,260.0,114850.0
XSL-00004,0017EE7NAK4MCZHMAV,Westfall Financial Group Co.,Retail & Consumer Goods,"Data Center / Product, Data Center / SDIS, Data Center / Technical Services, Data Center / VBR, Digital Workplace / Product, Digital Workplace / Technical Services, Networking / Consulting Services, Networking / Product, Networking / SDIS, Networking / Technical Services, Networking / VBR, Security / Product, Security / VBR",Add Digital Workplace / VBR,Very High,"Accounts with Data Center / Technical Services go on to also have Digital Workplace / VBR 40% of the time -- 7.1x more often than chance, based on 4 accounts. | 3 of this account's closest-matching peers by product mix (avg similarity 69%) already have Digital Workplace / VBR, e.g. ""Cobalt Holdings Co."", ""Monroe, Metropolitan Water District"", ""Stonebridge Data Systems Inc."".","Market Basket Rule, Similar Account",2,292.0,124.0,75149.0
XSL-00005,001SAEQ8IKIMZLX68U,Redstone Manufacturing Inc.,Healthcare,"Data Center / Product, Digital Workplace / Product, Networking / Product, Networking / SDIS, Networking / Technical Services, Networking / VBR, Security / Product, Security / SDIS, Security / Technical Services, Security / VBR",Add Data Center / Technical Services,High,"2 of this account's closest-matching peers by product mix (avg similarity 69%) already have Data Center / Technical Services, e.g. ""Monroe, Metropolitan Water District"", ""Stonebridge Data Systems Inc."".",Similar Account,1,31669.0,5071.0,74043.0
XSL-00006,001BRSZAI2Y634S8O6,"Kingston, Township Of",Public Sector,"Networking / Product, Networking / SDIS, Networking / Technical Services, Networking / VBR, Security / Product",Add Data Center / Product,High,"2 of this account's closest-matching peers by product mix (avg similarity 69%) already have Data Center / Product, e.g. ""Ironclad Data Systems Co."", ""Millbrook Utilities Ltd."".",Similar Account,1,39463.0,4527.0,38805.0
XSL-00007,001SID03583239Q13E,Vertex Enterprises Ltd.,Insurance,"Digital Workplace / Product, Networking / Product, Networking / Technical Services",Add Data Center / Product,High,"2 of this account's closest-matching peers by product mix (avg similarity 75%) already have Data Center / Product, e.g. ""Highfield Data Systems Inc."", ""Clearwater Financial Group Co."".",Similar Account,1,39463.0,4527.0,5694.0
XSL-00008,001J45LRHGJNJFQWLT,Millbrook Utilities Ltd.,Manufacturing,"Data Center / Product, Networking / Product, Networking / SDIS, Networking / VBR, Security / Product",Add Networking / Technical Services,High,"2 of this account's closest-matching peers by product mix (avg similarity 69%) already have Networking / Technical Services, e.g. ""Ironclad Data Systems Co."", ""Kingston, Township Of"".",Similar Account,1,22230.0,4331.0,6981.0
XSL-00009,0014UR4TSDAO97WWOG,Cobalt Utilities Inc.,Telecommunications,Security / Product,Add Networking / Product,High,78% of other Telecommunications accounts (n=9) already have Networking / Product.,Peer/Industry Bundle,1,19813.0,2752.0,1137.0
XSL-00010,00184DIPFUAEBK1G9J,Northgate Technologies Co.,Media & Entertainment,Networking / Technical Services,Add Networking / Product,High,80% of other Media & Entertainment accounts (n=10) already have Networking / Product.,Peer/Industry Bundle,1,19813.0,2752.0,1280.0
