Categorical Distribution Comparison: Input Workbook (given) vs Synthetic Data,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
"Given % is computed from the ""Distrbution"" tab's # Opp counts in the source workbook (SFDC MVP Data Dictonary.xlsx), merged to the LOB/Portfolio categories confirmed correct in the NTT walkthrough. Synthetic % is measured directly on the generated data. Status = Review when |difference| > 1.5 percentage points.",,,,,
Column,Category,Given % (input workbook),Synthetic % (generated data),Difference (pp),Status
OpportunityStage,Deal Lost,55.26,55.27,0.01,Match
OpportunityStage,Deal Won,33.24,33.27,0.03,Match
OpportunityStage,Finalist,2.04,2.05,0.01,Match
OpportunityStage,Identification,5.26,5.27,0.01,Match
OpportunityStage,Proposal,1.38,1.37,-0.01,Match
OpportunityStage,Proposal Evaluation,1.34,1.32,-0.02,Match
OpportunityStage,Qualification,0.79,0.78,-0.01,Match
OpportunityStage,Requirements Definition,0.68,0.68,0,Match
ForecastCategory,Omitted,58.53,58.44,-0.09,Match
ForecastCategory,Closed,33.27,33.17,-0.1,Match
ForecastCategory,Pipeline,3.74,3.76,0.02,Match
ForecastCategory,Best Case,2.61,2.68,0.07,Match
ForecastCategory,Commit,1.86,1.95,0.09,Match
ProductBusinessUnit,Networking,62.34,62.29,-0.05,Match
ProductBusinessUnit,Data Center,9.54,9.56,0.02,Match
ProductBusinessUnit,Security,13.78,13.71,-0.07,Match
ProductBusinessUnit,Digital Workplace,14.34,14.44,0.1,Match
ServiceCategory,Product,68.57,68.56,-0.01,Match
ServiceCategory,Technical Services,12.97,12.99,0.02,Match
ServiceCategory,SDIS,5.18,5.17,-0.01,Match
ServiceCategory,Consulting Services,1.46,1.45,-0.01,Match
ServiceCategory,VBR,11.82,11.83,0.01,Match
